iter	MultiClass
185	0.4915557861
186	0.4903175863
187	0.4878728841
188	0.485934082
189	0.4840460612
190	0.482559611
191	0.4812767741
192	0.4804622803
193	0.4780370687
194	0.4764855143
195	0.4744367676
196	0.473076945
197	0.4705216878
198	0.4681873779
199	0.4668232829
200	0.4652716471
201	0.4628702393
202	0.4607603353
203	0.4586172282
204	0.457447876
205	0.4562548014
206	0.4544248047
207	0.4519162598
208	0.449789388
209	0.4483225098
210	0.446767334
211	0.4447699788
212	0.4428159993
213	0.4407670898
214	0.4378435872
215	0.4354903564
216	0.4338151042
217	0.4316688639
218	0.4304405111
219	0.4286932373
220	0.4259996338
221	0.4246702474
222	0.4225642904
223	0.4206459147
224	0.4198469238
225	0.418774943
226	0.4160629883
227	0.4136253255
228	0.4118881429
229	0.4104559326
230	0.4090927327
231	0.4080356445
232	0.4061900635
233	0.4045863851
234	0.4035893148
235	0.4023447673
236	0.4007565918
237	0.3987322184
238	0.3976413574
239	0.3958021647
240	0.3945813395
241	0.393272054
242	0.3925061849
243	0.3908714193
244	0.3900773519
245	0.3888454183
246	0.3876215413
247	0.3859189453
248	0.3848312174
249	0.3837865397
250	0.382398641
251	0.3816918538
252	0.3809106852
253	0.3802106527
254	0.379141805
255	0.3784042969
256	0.3766635335
257	0.3752792562
258	0.373575887
259	0.3729165446
260	0.3722115885
261	0.3711728109
262	0.370144165
263	0.3685373942
264	0.3674103597
265	0.3662613118
266	0.3655480957
267	0.3642031657
268	0.3629465739
269	0.3616068115
270	0.3607327881
271	0.3599805094
272	0.3589161377
273	0.3576195068
274	0.3568189697
275	0.3557221273
276	0.3543288981
277	0.3531821289
278	0.3521030273
279	0.3512798258
280	0.3501272786
281	0.3494973958
282	0.3479706217
283	0.3472733154
284	0.345985026
285	0.3444401042
286	0.3437613525
287	0.3430190837
288	0.3423191325
289	0.3412641195
290	0.3401360881
291	0.3397184245
292	0.3386674805
293	0.3373802287
294	0.3362755737
295	0.3347845866
296	0.3338455811
297	0.3332071737
298	0.3325259603
299	0.3313750203
300	0.330054423
301	0.3290869751
302	0.3280190837
303	0.3271623128
304	0.3266574504
305	0.3257836507
306	0.3248118083
307	0.3230184733
308	0.3219735921
309	0.3213624674
310	0.3205307617
311	0.3197666423
312	0.3193167928
313	0.319006958
314	0.3180256755
315	0.3175411987
316	0.316889384
317	0.3160742391
318	0.315452006
319	0.3146468099
320	0.3134467977
321	0.3128719889
322	0.3122585042
323	0.3114510905
324	0.3099869181
325	0.3089263102
326	0.3083697917
327	0.307270223
328	0.3067045492
329	0.3060948283
330	0.3052905273
331	0.3041207479
332	0.3032327067
333	0.3024165039
334	0.301526062
335	0.3009985758
336	0.3000491536
337	0.2991635335
338	0.2986510417
339	0.2978270264
340	0.2966582031
341	0.295447286
342	0.2947150065
343	0.2938418783
344	0.2931515299
345	0.292194519
346	0.2916143595
347	0.2910848796
348	0.2903834025
349	0.2894942627
350	0.288882548
351	0.2883418783
352	0.2876259766
353	0.2871552531
354	0.2862902425
355	0.2857645671
356	0.2846078898
357	0.2837155355
358	0.2828627726
359	0.2824707845
360	0.2819290365
361	0.2815448812
362	0.2806708781
363	0.2796021729
364	0.2789706217
365	0.278442627
366	0.277521993
367	0.2767856038
368	0.2758531494
369	0.2747597249
370	0.2742583008
371	0.273866394
372	0.2731157633
373	0.2721481934
374	0.2713310547
375	0.27019163
376	0.2694213053
377	0.2687489827
378	0.2681876628
379	0.2671990356
380	0.2666549683
381	0.2660760091
382	0.265332723
383	0.2642531738
384	0.2637069092
385	0.2630190226
386	0.2624750163
387	0.2618156535
388	0.2613055623
389	0.2607330119
390	0.260133016
391	0.2595603638
392	0.2588191732
393	0.2580375773
394	0.2573678589
395	0.2567589111
396	0.2557530518
397	0.2553804525
398	0.2549367676
399	0.2543241577
400	0.2534932048
401	0.2530446167
402	0.2526405843
403	0.2519420776
404	0.2513815308
405	0.2509547933
406	0.250355896
407	0.2496346842
408	0.2491946208
409	0.2488565063
410	0.2484856974
411	0.2480714925
412	0.2475240885
413	0.2466482544
414	0.2455865072
415	0.2451723633
416	0.24484611
417	0.2442542114
418	0.243575236
419	0.2429399618
420	0.2425209961
421	0.2418313395
422	0.2412869263
423	0.2409679159
424	0.2407727254
425	0.2402478434
426	0.2397166341
427	0.2392283529
428	0.238957723
429	0.2384726969
430	0.2379541626
431	0.237387085
432	0.2368493042
433	0.2365421753
434	0.2356919352
435	0.2352375692
436	0.2346778768
437	0.2342131348
438	0.233710734
439	0.2334565633
440	0.2329563395
441	0.2326612549
442	0.2319781291
443	0.231607076
444	0.2309805501
445	0.2305422363
446	0.2301368815
447	0.2298682658
448	0.2294618327
449	0.2292140706
450	0.2286070353
451	0.2282091471
452	0.22753479
453	0.226920634
454	0.2263349202
455	0.2257737834
456	0.2252166951
457	0.224764445
458	0.2243227539
459	0.223545166
460	0.2229527995
461	0.222057373
462	0.2218621623
463	0.2209630127
464	0.2203828125
465	0.2197554321
466	0.2194175415
467	0.2189514567
468	0.2182147827
469	0.2175634766
470	0.2171998291
471	0.2166515706
472	0.2161516927
473	0.2156516113
474	0.2148259481
475	0.214519755
476	0.2139255575
477	0.2131847738
478	0.2127042643
479	0.2121144206
480	0.2119046834
481	0.2116562703
482	0.2112721965
483	0.2110125936
484	0.2105401815
485	0.2100744222
486	0.2097579549
487	0.2092485758
488	0.2089472046
489	0.2086317546
490	0.2082331746
491	0.2079082031
492	0.2074963582
493	0.2068401693
494	0.2061806437
495	0.2050049235
496	0.2046831258
497	0.2042884928
498	0.2038422241
499	0.2034200439
500	0.2031064453
501	0.2025091146
502	0.2019786377
503	0.2015383504
504	0.2012142741
505	0.2007835693
506	0.2006085815
507	0.2002471517
508	0.1998799235
509	0.1995105998
510	0.1990454305
511	0.1987600708
512	0.1982665812
513	0.1977830811
514	0.1974302775
515	0.1970940348
516	0.1966895142
517	0.1963245036
518	0.1957954508
519	0.1954714355
520	0.1950616862
521	0.1946040243
522	0.1941507161
523	0.1937369181
524	0.1931041056
525	0.1928060303
526	0.1923959757
527	0.191797526
528	0.1913396403
529	0.1910587769
530	0.1905864665
531	0.1901815592
532	0.1899853719
533	0.1895637004
534	0.1891225179
535	0.1887662557
536	0.1883801473
537	0.1880281372
538	0.1876588338
539	0.1872246908
540	0.1869407959
541	0.1864046224
542	0.1861371053
543	0.1857744141
544	0.1854188436
545	0.1849860229
546	0.1846121826
547	0.1840152181
548	0.1835562541
549	0.1831414388
550	0.1822879842
551	0.1819437052
552	0.1817271932
553	0.181276123
554	0.1809570719
555	0.1806867676
556	0.1804039714
557	0.1799808757
558	0.1798133748
559	0.1795283203
560	0.1790438029
561	0.178824707
562	0.1784491374
563	0.178118042
564	0.1778677165
565	0.1775687256
566	0.1772003784
567	0.1768994344
568	0.1764076335
569	0.1758542887
570	0.1755081787
571	0.1752329102
572	0.1750276693
573	0.1743738607
574	0.1742440389
575	0.1739001668
576	0.1735522054
577	0.1730458577
578	0.1726075033
579	0.1724025065
580	0.1720521037
581	0.1716350708
582	0.1714705607
583	0.1709717407
584	0.170738444
585	0.1702888692
586	0.1698979696
587	0.1695039775
588	0.1690914408
589	0.1686214803
590	0.1683970439
591	0.167959788
592	0.1676381226
593	0.1673840637
594	0.167064565
595	0.166715505
596	0.1662913106
597	0.1660449727
598	0.1658028564
599	0.1655241496
600	0.1652962646
601	0.164960612
602	0.1645987244
603	0.1643097331
604	0.1639984029
605	0.16368337
606	0.1633574015
607	0.1630808004
608	0.1626082764
609	0.1622901001
610	0.1618104045
611	0.1613707174
612	0.1609258728
613	0.1607781576
614	0.1606381734
615	0.1603685404
616	0.1600078939
617	0.1598487244
618	0.1595993347
619	0.1592253723
620	0.158910024
621	0.1585523885
622	0.1579654134
623	0.1576708679
624	0.1571042684
625	0.1569364014
626	0.1565349019
627	0.1563325602
628	0.1560926921
629	0.155824412
630	0.1555758464
631	0.1552209473
632	0.1549151001
633	0.1544972636
634	0.1541535034
635	0.1537071126
636	0.1533658447
637	0.1530114848
638	0.1526351827
639	0.1523963013
640	0.1522289327
641	0.1519337158
642	0.1517071228
643	0.1512885234
644	0.1509405212
645	0.1506348775
646	0.1504316508
647	0.1500777079
648	0.1498511149
649	0.1495284424
650	0.1494145508
651	0.1491974182
652	0.1490521444
653	0.1485506592
654	0.1480849813
655	0.147939504
656	0.1477445679
657	0.1476184794
658	0.1472081909
659	0.146969635
660	0.1468557434
661	0.1466427205
662	0.1463429769
663	0.1461958822
664	0.1460546061
665	0.1458091634
666	0.1454937032
667	0.145094696
668	0.1448318685
669	0.1445772502
670	0.1441809285
671	0.1439219157
672	0.143563385
673	0.1433707581
674	0.1431570638
675	0.142977061
676	0.142732076
677	0.142569987
678	0.1424402568
679	0.1420910746
680	0.1418999329
681	0.1416485697
682	0.1415111593
683	0.1412717183
684	0.1410890706
685	0.1408997701
686	0.1407199097
687	0.1405559998
688	0.1403410339
689	0.1400933838
690	0.1399881083
691	0.1396640523
692	0.1395093892
693	0.1393787537
694	0.1390198059
695	0.1388084106
696	0.1385774536
697	0.1383972982
698	0.1381375326
699	0.1378924255
700	0.1376392619
701	0.1375612386
702	0.1372700704
703	0.1370907288
704	0.1369267578
705	0.136550293
706	0.1363205872
707	0.1360435079
708	0.1355670573
709	0.1354353027
710	0.1353358154
711	0.1351417135
712	0.1349149577
713	0.1345663757
714	0.1343878174
715	0.1341386312
716	0.1338236287
717	0.1336179911
718	0.1332893066
719	0.1330556539
720	0.132728068
721	0.1324896037
722	0.1321265259
723	0.1318925273
724	0.1317145487
725	0.1315303446
726	0.1313593648
727	0.1311388957
728	0.1309118042
729	0.1307377523
730	0.1305278524
731	0.1303627421
732	0.1299885152
733	0.1298450114
734	0.1295845947
735	0.1294519145
736	0.1289373881
737	0.1288449809
738	0.1286975199
739	0.1284937642
740	0.1283272603
741	0.1281092834
742	0.1278767192
743	0.1275938822
744	0.1274299011
745	0.1271421712
746	0.1269683228
747	0.1268032023
748	0.1264711507
749	0.1259671326
750	0.1258803507
751	0.1255489705
752	0.1254441833
753	0.1251110636
754	0.1248350627
755	0.1246442261
756	0.1244651489
757	0.1239656169
758	0.1238463745
759	0.1235989583
760	0.1231998291
761	0.1230972595
762	0.1229613037
763	0.1227271016
764	0.122511851
765	0.1220328878
766	0.1216781311
767	0.1214188131
768	0.1211849467
769	0.1209839681
770	0.1208596293
771	0.120755544
772	0.1206038005
773	0.1203411967
774	0.1201677246
775	0.1200356038
776	0.1198479004
777	0.119578949
778	0.1193763936
779	0.1192736918
780	0.1191543172
781	0.1189215393
782	0.1187136129
783	0.1185735677
784	0.1182058818
785	0.1180802511
786	0.1178818665
787	0.1176630961
788	0.1174812113
789	0.1173012797
790	0.1171078695
791	0.1169868062
792	0.1168249613
793	0.1166851603
794	0.1165086263
795	0.1162698161
796	0.1160514933
797	0.1159151611
798	0.1155940755
799	0.1154158325
800	0.1151602987
801	0.1150181274
802	0.1149718323
803	0.1148498332
804	0.114715922
805	0.1145070292
806	0.1143500977
807	0.1142089539
808	0.1141125692
809	0.1138737284
810	0.113717336
811	0.1135942688
812	0.1134871216
813	0.1132200216
814	0.1129485881
815	0.1127753296
816	0.1125906881
817	0.1123065491
818	0.1121802775
819	0.1120643311
820	0.1117035929
821	0.1114446411
822	0.1113060506
823	0.1112177836
824	0.1110389099
825	0.1109164836
826	0.1108375956
827	0.1106692607
828	0.1105243123
829	0.1101573079
830	0.1098730062
831	0.1096557109
832	0.1095010478
833	0.1092832235
834	0.1091239115
835	0.1089259542
836	0.1088481649
837	0.1087889099
838	0.1085975952
839	0.1082680969
840	0.108079834
841	0.1078794454
842	0.1075418396
843	0.1073908285
844	0.1072870483
845	0.1071634216
846	0.1069195964
847	0.10680012
848	0.1066899821
849	0.1065287882
850	0.1062350769
851	0.1060446574
852	0.1059601034
853	0.1057510681
854	0.105664388
855	0.1055013631
856	0.1053127035
857	0.1051622213
858	0.1050703837
859	0.104892568
860	0.1047162272
861	0.104557607
862	0.1044274801
863	0.1041931763
864	0.1040177917
865	0.1038780009
866	0.1036379089
867	0.1034217936
868	0.1032569682
869	0.1031283569
870	0.1029886983
871	0.1028854268
872	0.1027624817
873	0.1026568095
874	0.1024422607
875	0.1022524211
876	0.102161377
877	0.1020135701
878	0.1018988851
879	0.1015946248
880	0.1015316162
881	0.101366862
882	0.101274292
883	0.1011471049
884	0.1010571289
885	0.1008443705
886	0.1007762451
887	0.1006258341
888	0.1004812317
889	0.1002916565
890	0.1001677755
891	0.09994344076
892	0.09978121948
893	0.09960513306
894	0.09943115234
895	0.09935988363
896	0.09922012329
897	0.09915577189
898	0.09894143677
899	0.09885906982
900	0.09874871826
901	0.09860645549
902	0.09845842489
903	0.09829614258
904	0.09813465373
905	0.09794989014
906	0.0978123881
907	0.09770732625
908	0.09757702637
909	0.09745687866
910	0.09734361776
911	0.09724599202
912	0.09709477743
913	0.09700363159
914	0.09688898722
915	0.0968047994
916	0.09656212362
917	0.09642441813
918	0.09626416016
919	0.09620476278
920	0.09602740479
921	0.09593423462
922	0.09578831991
923	0.09573764038
924	0.09566230265
925	0.09547825114
926	0.09540226237
927	0.09513457235
928	0.09499521891
929	0.09479914347
930	0.0946432902
931	0.09451241048
932	0.09434122721
933	0.09419677734
934	0.09404542033
935	0.09387036133
936	0.09376025391
937	0.09358434041
938	0.09354236857
939	0.0934148763
940	0.09329258219
941	0.09313985189
942	0.09298510742
943	0.09276165771
944	0.09254302979
945	0.09236509196
946	0.0921828715
947	0.09213327026
948	0.09206973267
949	0.09194345093
950	0.09157116699
951	0.09139059448
952	0.09128738403
953	0.09116444906
954	0.09100568644
955	0.09075801595
956	0.09045863851
957	0.09036592611
958	0.09029104614
959	0.09021383667
960	0.0900912679
961	0.08999038696
962	0.08990876261
963	0.08968004354
964	0.08951463826
965	0.08934893799
966	0.08915604655
967	0.08891259766
968	0.08885975138
969	0.08873127238
970	0.0886791687
971	0.08848334757
972	0.08834726969
973	0.08823722331
974	0.08806029256
975	0.0880008138
976	0.08787427775
977	0.08779557292
978	0.08763094076
979	0.08741639201
980	0.0872580363
981	0.08713451131
982	0.08703174845
983	0.08691393026
984	0.08684332275
985	0.08676667277
986	0.08664076742
987	0.0865741272
988	0.08633718872
989	0.08622601318
990	0.08617087809
991	0.08597553507
992	0.08585429891
993	0.08575683594
994	0.08569515991
995	0.08538464355
996	0.08530016073
997	0.08524042765
998	0.0851525828
999	0.0850985616
